Duty    Speed   Current                                                                    
0.000000        0.000000        1.218486                                                   
0.039978        0.000000        1.216714                                                   
0.079956        0.000000        1.216230                                                   
0.119934        -0.408497       1.216069                                                   
0.159912        -15.727124      1.209463                                                   
0.199890        -28.390524      1.219614                                                   
0.239868        -38.521244      1.205757                                                   
0.279846        -49.754902      1.213975                                                   
0.319824        -58.578434      1.216392                                                   
0.359802        -70.874184      1.214941                                                   
0.399780        -84.150330      1.219614                                                   
0.439758        -93.382355      1.217358                                                   
0.479736        -105.187912     1.221064                                                   
0.519714        -117.075165     1.215264                                                   
0.559692        -127.001640     1.226865                                                   
0.599670        -139.052292     1.208335                                                   
0.639648        -150.694443     1.212041                                                   
0.679626        -160.988571     1.218325                                                   
0.719604        -173.406876     1.208335                                                   
0.759583        -184.803925     1.218647                                                   
0.799561        -195.016342     1.216069                                                   
0.839539        -206.781052     1.215264                                                   
0.879517        -217.973862     1.214619                                                   
0.919495        -229.901962     1.219937                                                   
0.959473        -241.421570     1.212041                                                   
0.999451        -253.472229     1.206563
